timestamp,metric,cc_version,prompt_id,hostname,llm_model,value
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.112,code-gen,Machine-C,claude-haiku-4-5-20251001,11711
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.112,infra-check,Machine-C,claude-haiku-4-5-20251001,46903
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.113,code-gen,Machine-C,claude-haiku-4-5-20251001,11748
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.113,infra-check,Machine-C,claude-haiku-4-5-20251001,46678
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.114,code-gen,Machine-C,claude-haiku-4-5-20251001,24812
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.114,infra-check,Machine-C,claude-haiku-4-5-20251001,51891
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.114,infra-check,Machine-C,claude-opus-4-6,32895
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.116,code-gen,Machine-C,claude-haiku-4-5-20251001,46131
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.116,infra-check,Machine-C,claude-haiku-4-5-20251001,51912
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.116,infra-check,Machine-C,claude-opus-4-6,33387
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.117,code-gen,Machine-C,claude-haiku-4-5-20251001,21552
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.117,infra-check,Machine-C,claude-haiku-4-5-20251001,26598
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.117,infra-check,Machine-C,claude-opus-4-6,16849
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.118,code-gen,Machine-C,claude-haiku-4-5-20251001,8821
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.118,infra-check,Machine-C,claude-haiku-4-5-20251001,27916
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.118,infra-check,Machine-C,claude-opus-4-6,16729
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.119,code-gen,Machine-C,claude-haiku-4-5-20251001,24546
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.119,infra-check,Machine-C,claude-haiku-4-5-20251001,56634
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.119,infra-check,Machine-C,claude-opus-4-6,33963
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.89,code-gen,Machine-A,claude-haiku-4-5-20251001,48404
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.89,infra-check,Machine-A,claude-haiku-4-5-20251001,50886
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.89,code-gen,Machine-B,claude-haiku-4-5-20251001,51214
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.89,infra-check,Machine-B,claude-haiku-4-5-20251001,51822
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.89,infra-check,Machine-A,claude-opus-4-6,25780
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.89,infra-check,Machine-B,claude-opus-4-6,28868
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.89,infra-check,Machine-A,unknown,21056
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.96,code-gen,Machine-B,unknown,57847
2026-04-26T20:37:10Z,cache_creation_tokens,2.1.96,infra-check,Machine-B,unknown,57841
2026-04-26T20:37:11Z,cache_read_tokens,2.1.110,infra-check,Machine-C,unknown,11748
2026-04-26T20:37:11Z,cache_read_tokens,2.1.112,code-gen,Machine-C,claude-haiku-4-5-20251001,34890
2026-04-26T20:37:11Z,cache_read_tokens,2.1.112,infra-check,Machine-C,claude-haiku-4-5-20251001,0
2026-04-26T20:37:11Z,cache_read_tokens,2.1.113,code-gen,Machine-C,claude-haiku-4-5-20251001,34936
2026-04-26T20:37:11Z,cache_read_tokens,2.1.113,infra-check,Machine-C,claude-haiku-4-5-20251001,0
2026-04-26T20:37:11Z,cache_read_tokens,2.1.114,code-gen,Machine-C,claude-haiku-4-5-20251001,129090
2026-04-26T20:37:11Z,cache_read_tokens,2.1.114,infra-check,Machine-C,claude-haiku-4-5-20251001,0
2026-04-26T20:37:11Z,cache_read_tokens,2.1.114,infra-check,Machine-C,claude-opus-4-6,0
2026-04-26T20:37:11Z,cache_read_tokens,2.1.116,code-gen,Machine-C,claude-haiku-4-5-20251001,9683
2026-04-26T20:37:11Z,cache_read_tokens,2.1.116,infra-check,Machine-C,claude-haiku-4-5-20251001,0
2026-04-26T20:37:11Z,cache_read_tokens,2.1.116,infra-check,Machine-C,claude-opus-4-6,0
2026-04-26T20:37:11Z,cache_read_tokens,2.1.117,code-gen,Machine-C,claude-haiku-4-5-20251001,6455
2026-04-26T20:37:11Z,cache_read_tokens,2.1.117,infra-check,Machine-C,claude-haiku-4-5-20251001,0
2026-04-26T20:37:11Z,cache_read_tokens,2.1.117,infra-check,Machine-C,claude-opus-4-6,0
2026-04-26T20:37:11Z,cache_read_tokens,2.1.118,code-gen,Machine-C,claude-haiku-4-5-20251001,19365
2026-04-26T20:37:11Z,cache_read_tokens,2.1.118,infra-check,Machine-C,claude-haiku-4-5-20251001,0
2026-04-26T20:37:11Z,cache_read_tokens,2.1.118,infra-check,Machine-C,claude-opus-4-6,0
2026-04-26T20:37:11Z,cache_read_tokens,2.1.119,code-gen,Machine-C,claude-haiku-4-5-20251001,32050
2026-04-26T20:37:11Z,cache_read_tokens,2.1.119,infra-check,Machine-C,claude-haiku-4-5-20251001,0
2026-04-26T20:37:11Z,cache_read_tokens,2.1.119,infra-check,Machine-C,claude-opus-4-6,0
2026-04-26T20:37:11Z,cache_read_tokens,2.1.89,code-gen,Machine-A,claude-haiku-4-5-20251001,3661
2026-04-26T20:37:11Z,cache_read_tokens,2.1.89,infra-check,Machine-A,claude-haiku-4-5-20251001,0
2026-04-26T20:37:11Z,cache_read_tokens,2.1.89,code-gen,Machine-B,claude-haiku-4-5-20251001,3533
2026-04-26T20:37:11Z,cache_read_tokens,2.1.89,infra-check,Machine-B,claude-haiku-4-5-20251001,0
2026-04-26T20:37:11Z,cache_read_tokens,2.1.89,infra-check,Machine-A,claude-opus-4-6,956
2026-04-26T20:37:11Z,cache_read_tokens,2.1.89,infra-check,Machine-B,claude-opus-4-6,0
2026-04-26T20:37:11Z,cache_read_tokens,2.1.89,infra-check,Machine-A,unknown,30959
2026-04-26T20:37:11Z,cache_read_tokens,2.1.96,code-gen,Machine-B,unknown,0
2026-04-26T20:37:11Z,cache_read_tokens,2.1.96,infra-check,Machine-B,unknown,0
2026-04-26T20:37:12Z,runs_total,2.1.110,infra-check,Machine-C,unknown,3
2026-04-26T20:37:12Z,runs_total,2.1.112,code-gen,Machine-C,claude-haiku-4-5-20251001,3
2026-04-26T20:37:12Z,runs_total,2.1.112,infra-check,Machine-C,claude-haiku-4-5-20251001,3
2026-04-26T20:37:12Z,runs_total,2.1.113,code-gen,Machine-C,claude-haiku-4-5-20251001,1
2026-04-26T20:37:12Z,runs_total,2.1.113,infra-check,Machine-C,claude-haiku-4-5-20251001,1
2026-04-26T20:37:12Z,runs_total,2.1.114,code-gen,Machine-C,claude-haiku-4-5-20251001,12
