regime,total,with_sid,backfilled,pat_arch,avg_chars
B(pipeline),106761,0,0,745,1169
C,903,898,891,29,2295
(untagged),581,212,212,42,1137
C-prime,313,313,1,2,2115
C-prime-arc,29,29,0,19,2196
